Date,JD(TCB),averagemag
2020-12-05 00:06:17,2459188.50436,12.88
2020-12-05 01:52:51,2459188.57837,12.88
2020-12-05 06:06:32,2459188.75454,untrusted
2020-12-05 07:53:06,2459188.82854,12.87
2020-12-05 12:06:47,2459189.00471,12.87
2020-12-05 13:53:21,2459189.07872,12.88
2020-12-05 18:07:01,2459189.25487,12.87
2020-12-05 19:53:36,2459189.32889,12.87
2020-12-06 00:07:16,2459189.50505,12.87
2020-12-06 01:53:51,2459189.57906,12.87
2020-12-06 06:07:31,2459189.75522,12.86
2020-12-06 07:54:06,2459189.82924,12.87
2020-12-06 12:07:46,2459190.00539,12.86
2020-12-06 18:08:01,2459190.25557,12.87
2021-02-06 00:00:00,2459251.50000,12.92
2021-02-06 01:46:34,2459251.57400,12.91
2021-03-03 13:41:16,2459277.07032,12.95
2021-04-01 23:33:55,2459306.48189,12.90
2021-05-12 16:28:54,2459347.18674,untrusted
2021-05-12 18:15:28,2459347.26074,12.68
2021-05-23 04:35:02,2459357.69100,12.53
2021-05-23 06:21:36,2459357.76500,12.54
2021-07-12 10:38:33,2459407.94344,null
2021-07-12 14:52:09,2459408.11955,11.61
2021-07-12 16:38:43,2459408.19355,11.60
2021-07-12 20:52:24,2459408.36972,11.61
2021-07-18 02:57:06,2459413.62299,11.82
2021-07-18 04:43:40,2459413.69699,11.81
2021-07-18 08:57:21,2459413.87316,11.84
2021-07-18 10:43:55,2459413.94716,11.83
2021-09-01 01:50:10,2459458.57650,12.49
2021-09-27 07:42:05,2459484.82089,12.84
2021-09-27 09:28:39,2459484.89490,12.84
2021-10-26 09:18:42,2459513.88799,12.95
2022-02-17 07:09:13,2459627.79807,13.05
2022-02-17 08:55:47,2459627.87207,13.02
2022-03-18 02:39:07,2459656.61050,13.02
2022-05-27 01:10:39,2459726.54906,13.12
2022-05-27 05:24:19,2459726.72522,13.10
2022-05-27 07:10:53,2459726.79922,13.10
2022-05-27 11:24:32,2459726.97537,13.10
2022-05-27 13:11:06,2459727.04938,13.10
2022-06-01 11:28:40,2459731.97824,13.11
2022-06-01 13:15:14,2459732.05225,13.11
2022-06-01 17:28:53,2459732.22839,13.10
2022-06-01 19:15:27,2459732.30240,13.11
2022-07-22 03:46:56,2459782.65759,13.13
2022-07-22 05:33:31,2459782.73161,13.13
2022-08-01 21:54:22,2459793.41275,13.14
2022-08-01 23:41:15,2459793.48698,null
2022-08-02 03:54:37,2459793.66293,13.15
2022-09-12 02:57:46,2459834.62345,13.14
2022-09-12 04:44:21,2459834.69747,13.14
2022-10-12 02:43:15,2459864.61337,13.16
2022-10-12 04:29:50,2459864.68738,13.15
2022-11-06 16:29:48,2459890.18736,13.16
2022-11-06 20:43:29,2459890.36353,13.16
2023-01-06 20:38:32,2459951.36009,13.17
2023-01-07 02:38:46,2459951.61025,13.15
2023-01-07 04:25:20,2459951.68426,13.15
2023-01-07 08:39:00,2459951.86042,13.15
2023-01-07 10:25:34,2459951.93442,untrusted
2023-01-07 14:39:14,2459952.11058,13.17
2023-01-07 16:25:48,2459952.18458,13.15
2023-01-07 20:39:28,2459952.36074,13.18
2023-01-07 22:26:18,2459952.43493,null
2023-01-08 02:39:42,2459952.61090,13.15
2023-01-08 04:26:16,2459952.68491,13.15
2023-01-08 08:39:56,2459952.86106,13.16
2023-01-08 10:26:30,2459952.93507,13.15
2023-01-08 14:40:09,2459953.11122,13.17
2023-01-08 16:26:43,2459953.18522,13.15
2023-01-08 20:40:23,2459953.36138,untrusted
2023-01-08 22:26:57,2459953.43538,untrusted
2023-01-09 02:40:37,2459953.61154,13.14
2023-01-09 04:27:11,2459953.68554,13.15
2023-01-09 08:40:50,2459953.86169,13.15
2023-01-09 10:27:24,2459953.93569,13.15
2023-01-09 14:41:04,2459954.11185,13.15
2023-01-09 16:27:38,2459954.18586,13.15
2023-01-09 20:41:17,2459954.36200,13.15
2023-01-09 22:27:51,2459954.43601,13.15
2023-01-10 02:41:31,2459954.61216,13.15
2023-01-10 04:28:05,2459954.68617,untrusted
2023-01-10 08:41:44,2459954.86231,13.17
2023-01-10 10:28:18,2459954.93632,untrusted
2023-01-10 14:41:58,2459955.11248,13.16
2023-01-10 16:28:32,2459955.18648,13.15
2023-01-10 20:42:12,2459955.36264,13.15
2023-01-10 22:29:17,2459955.43700,null
2023-01-11 02:42:25,2459955.61279,13.18
2023-01-11 04:28:59,2459955.68679,13.15
2023-01-11 08:42:39,2459955.86295,13.17
2023-01-11 10:29:41,2459955.93728,null
2023-01-11 14:42:53,2459956.11311,13.14
2023-01-11 16:29:27,2459956.18712,13.15
2023-01-11 20:43:07,2459956.36328,13.14
2023-01-12 02:43:21,2459956.61344,13.15
2023-02-28 14:17:57,2460004.09580,untrusted
2023-02-28 16:04:31,2460004.16980,13.15
2023-04-01 09:35:34,2460035.89970,13.16
2023-08-01 04:45:05,2460157.69797,13.17
2023-08-01 06:31:39,2460157.77198,13.15
2023-08-16 10:51:55,2460172.95272,13.15
2023-08-16 12:38:29,2460173.02672,13.15
2023-09-23 10:06:46,2460210.92137,13.16
2023-09-23 11:53:21,2460210.99538,13.17
2023-10-27 09:46:39,2460244.90740,13.15
2023-10-27 11:33:43,2460244.98175,null
2023-11-17 23:41:00,2460266.48681,13.17
2023-11-18 03:54:41,2460266.66297,13.16
2024-01-16 03:46:51,2460325.65753,13.16
2024-01-16 05:33:25,2460325.73154,13.16
2024-01-16 09:47:05,2460325.90770,untrusted
2024-01-16 11:33:39,2460325.98170,13.17

