###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57368.482364  12.951  0.002 23956   57 o  0  86.77  90.26700 -18.96770  7071.65  3037.46 3.76 3.57   5.8 -0.445 19.17 20.80 02a57368o0472o
57369.450903  12.958  0.002 23812   59 o  0 139.89  90.26700 -18.96770  3013.28  8590.78 3.87 3.35 -76.6 -0.463 19.21 20.86 02a57369o0240o
57369.458865  12.946  0.003 24072   62 o  0 107.07  90.26700 -18.96770  8228.42  2442.25 3.90 3.41  16.4 -0.503 19.19 20.82 02a57369o0252o
57369.465216  12.928  0.003 24473   63 o  0  80.03  90.26700 -18.96770  7370.56  1280.32 4.31 3.47   6.7 -0.506 19.20 20.84 02a57369o0262o
57369.492324  12.943  0.002 24135   59 o  0 131.91  90.26700 -18.96770  7071.28  3037.23 3.75 3.51   0.8 -0.471 19.26 20.95 02a57369o0302o
57370.444909  13.440  0.003 15282   45 c  0  26.84  90.26700 -18.96770  3012.72  8593.59 4.36 3.83 -72.4 -0.415 19.56 21.66 02a57370o0416c
57370.453548  13.451  0.003 15125   46 c  0  35.83  90.26700 -18.96770  2725.92  8009.01 4.28 3.73 -71.0 -0.424 19.58 21.66 02a57370o0429c
57370.459749  13.435  0.003 15350   45 c  0  38.36  90.26700 -18.96770  7367.08  1279.54 4.62 3.80   3.8 -0.453 19.58 21.63 02a57370o0439c
57380.412170  12.956  0.005 23855  123 o  0   5.15  90.26700 -18.96770  2983.84  8599.01 3.96 3.30 -75.2 -0.496 18.21 18.87 02a57380o0308o
57380.433681  12.948  0.003 24027   84 o  0  13.47  90.26700 -18.96770  8036.88  2678.59 3.91 3.52  14.8 -0.503 18.16 18.83 02a57380o0339o
57380.437416  12.938  0.004 24251   90 o  0  12.68  90.26700 -18.96770  7182.28  1515.11 4.25 3.47   3.6 -0.537 18.17 18.82 02a57380o0345o
57380.464764  12.959  0.003 23792   78 o  0  19.15  90.26700 -18.96770  6877.90  3268.28 3.75 3.54  -4.1 -0.488 18.15 18.81 02a57380o0386o
57388.344295  12.955  0.002 23884   60 o  0 106.20  90.26700 -18.96770  3006.29  8592.12 3.98 3.44 -72.0 -0.462 19.25 21.01 02a57388o0256o
57388.361781  12.951  0.003 23956   60 o  0 132.60  90.26700 -18.96770  2712.72  8014.11 4.09 3.44 -73.0 -0.465 19.25 21.02 02a57388o0283o
57388.379608  12.941  0.002 24194   60 o  0 106.54  90.26700 -18.96770  3563.04  9183.67 3.88 3.42 -77.7 -0.472 19.26 21.00 02a57388o0310o
57388.396104  12.945  0.002 24100   58 o  0 156.53  90.26700 -18.96770  3861.31  7436.83 3.88 3.26 -76.5 -0.485 19.31 21.07 02a57388o0336o
57389.330641  12.945  0.003 24095   61 o  0  38.85  90.26700 -18.96770  3011.30  8590.25 4.47 4.02 -16.9 -0.424 18.90 20.60 02a57389o0095o
57389.347953  12.955  0.003 23879   64 o  0  20.39  90.26700 -18.96770  2717.33  8010.83 4.68 4.19 -19.0 -0.404 18.88 20.65 02a57389o0122o
57389.364476  12.945  0.003 24104   61 o  0  69.75  90.26700 -18.96770  3567.99  9179.62 3.82 3.47 -77.2 -0.461 19.07 20.61 02a57389o0147o
57389.382042  12.948  0.002 24032   59 o  0 133.43  90.26700 -18.96770  3869.42  7430.67 3.73 3.27 -78.2 -0.476 19.11 20.65 02a57389o0173o
57390.327877  13.447  0.003 15177   45 c  0  39.55  90.26700 -18.96770  3009.15  8591.86 4.26 3.95 -66.1 -0.422 19.41 21.40 02a57390o0215c
57390.345219  13.447  0.003 15172   45 c  0  22.35  90.26700 -18.96770  2714.57  8012.63 4.31 3.87 -68.0 -0.422 19.45 21.46 02a57390o0242c
57390.361895  13.440  0.003 15272   44 c  0  46.55  90.26700 -18.96770  3565.73  9180.27 4.12 3.80 -78.3 -0.418 19.53 21.54 02a57390o0267c
57390.386027  13.441  0.003 15264   43 c  0  69.46  90.26700 -18.96770  3865.41  7435.00 3.80 3.46 -84.0 -0.431 19.63 21.63 02a57390o0303c
57391.321436  13.448  0.003 15170   44 c  0  47.26  90.26700 -18.96770  3008.53  8591.01 4.15 3.82 -68.9 -0.423 19.47 21.44 02a57391o0210c
57391.338080  13.440  0.003 15275   45 c  0  58.19  90.26700 -18.96770  2715.56  8011.67 4.09 3.74 -62.8 -0.438 19.53 21.51 02a57391o0236c
57391.355190  13.442  0.003 15252   45 c  0  59.30  90.26700 -18.96770  3566.64  9179.84 4.02 3.81 -71.0 -0.435 19.56 21.57 02a57391o0262c
57391.368975  13.438  0.003 15305   44 c  0  58.80  90.26700 -18.96770  3865.06  7431.30 3.97 3.57 -79.5 -0.421 19.59 21.59 02a57391o0283c
57392.345122  13.447  0.003 15183   45 c  0  16.28  90.26700 -18.96770  3521.42  9001.93 4.63 4.20 -71.2 -0.399 19.35 21.44 02a57392o0152c
57392.362297  13.438  0.003 15310   45 c  0  39.05  90.26700 -18.96770  3796.85  7237.84 4.31 3.81 -72.5 -0.430 19.43 21.43 02a57392o0178c
57398.398566  13.441  0.003 15268   44 c  0  55.06  90.26700 -18.96770  7683.41  2051.89 4.21 3.72  11.3 -0.446 19.60 21.65 02a57398o0329c
57398.415393  13.423  0.003 15510   50 c  0  23.80  90.26700 -18.96770  8003.94  2639.42 3.99 3.68  18.3 -0.440 19.59 21.63 02a57398o0356c
57398.432223  13.425  0.003 15482   45 c  0  59.55  90.26700 -18.96770  7181.56  1477.67 4.36 3.70   6.1 -0.457 19.58 21.63 02a57398o0383c
